neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
358,HOCAPAŞA,FATİH,17.08,27.23,21.98
359,HUZUR,SARIYER,28.01,51.44,39.39
360,HUZUR,ÜMRANİYE,31.92,36.97,34.67
361,HÜRRİYET,BAHÇELİEVLER,19.41,34.22,25.6
362,HÜRRİYET,BAĞCILAR,16.93,28.65,21.58
363,HÜRRİYET,ESENYURT,38.05,57.54,47.78
364,HÜRRİYET,GAZİOSMANPAŞA,15.44,25.42,19.29
365,HÜRRİYET,KARTAL,37.72,77.03,55.96
366,HÜRRİYET,KAĞITHANE,22.81,43.39,32.93
367,HÜSEYİNAĞA,BEYOĞLU,20.0,27.38,23.92
368,HÜSEYİNLİ,ÇEKMEKÖY,87.19,84.04,84.98
369,HİCRET,ARNAVUTKÖY,31.4,31.44,31.43
370,HİLAL,SANCAKTEPE,75.37,80.27,79.15
371,HİSARBEYLİ,ÇATALCA,53.14,60.21,56.45
372,IHLAMURKUYU,ÜMRANİYE,26.18,41.58,33.37
373,IŞIKLAR,EYÜPSULTAN,65.18,70.77,67.15
374,KABAKOZ,ŞİLE,65.92,64.88,65.95
375,KABAKÇA,ÇATALCA,53.14,60.21,56.45
376,KADIKÖY,SİLİVRİ,97.7,89.96,94.22
377,KADIKÖY,ŞİLE,53.14,60.21,56.45
378,KADIMEHMET EFENDİ,BEYOĞLU,22.33,32.06,26.63
379,KALEM,ŞİLE,53.14,60.21,56.45
380,KALENDERHANE,FATİH,19.82,33.53,25.91
381,KALEİÇİ,ÇATALCA,44.61,49.38,46.19
382,KALFA,ÇATALCA,53.14,60.21,56.45
383,KAMER HATUN,BEYOĞLU,20.85,29.74,25.13
384,KAMİLOBA,BÜYÜKÇEKMECE,55.34,68.87,62.39
385,KANARYA,KÜÇÜKÇEKMECE,24.12,28.9,26.03
386,KANDİLLİ,ÜSKÜDAR,32.29,35.82,33.89
387,KANLICA,BEYKOZ,35.89,43.33,38.77
388,KAPTANPAŞA,BEYOĞLU,24.89,39.5,31.31
389,KAPTANPAŞA,ŞİŞLİ,35.12,55.68,44.67
390,KARAAĞAÇ,BÜYÜKÇEKMECE,91.68,86.36,89.91
391,KARABEYLİ,ŞİLE,53.14,60.21,56.45
392,KARABURUN,ARNAVUTKÖY,53.14,60.21,56.45
393,KARACAKÖY,ŞİLE,53.14,60.21,56.45
394,KARACAKÖY MERKEZ,ÇATALCA,53.14,60.21,56.45
395,KARADENİZ,GAZİOSMANPAŞA,37.78,52.69,45.88
396,KARADOLAP,EYÜPSULTAN,25.08,31.94,27.56
397,KARAGÜMRÜK,FATİH,28.54,49.46,37.43
398,KARAKİRAZ,ŞİLE,53.14,60.21,56.45
399,KARAMANDERE,ÇATALCA,53.14,60.21,56.45
400,KARAMANDERE,ŞİLE,70.71,75.39,72.34
401,KARAYOLLARI,GAZİOSMANPAŞA,32.39,49.6,39.17
402,KARLIBAYIR,ARNAVUTKÖY,41.39,48.72,45.07
403,KARLIKTEPE,KARTAL,24.93,33.96,28.44
