||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Mimarsinan Mah.)-40887|9502.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Murat Çesme Mah.)-40888|19532.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Pınartepe Mah.)-40868|23435.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Sinanoba Mah.)-140374|15778.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Türkoba Mah.)-40892|15138.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Ulus Mah.)-40890|16280.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Yenimahalle Mah.)-40885|2569.0|
|İstanbul(Çatalca/Çatalca Bel./Akalan Mah.)-191781|1166.0|
|İstanbul(Çatalca/Çatalca Bel./Atatürk Mah.)-40903|1468.0|
|İstanbul(Çatalca/Çatalca Bel./Aydınlar Mah.)-191783|860.0|
|İstanbul(Çatalca/Çatalca Bel./Bahşayiş Mah.)-40902|398.0|
|İstanbul(Çatalca/Çatalca Bel./Başak Mah.)-191821|414.0|
|İstanbul(Çatalca/Çatalca Bel./Belgrat Mah.)-191823|411.0|
|İstanbul(Çatalca/Çatalca Bel./Çakıl Mah.)-40899|2831.0|
